"","X","id","text","geo","description","likes","retweet_counts","lang","length"
"11",7,1575219275362897920,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…","Everywhere","I love my country, I have time for a constructive debate not a childish one.

I serve a living God.","1",10,"en",1
"12",8,1575219267695685632,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…","Abuja","Has a deep passion for Nigeria with an eagle eyed interest in politics. Je suis rogue! 👑","1",10,"en",1
"13",9,1575219228369899520,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","Disunited Kingdom Planet Earth","Tweeting about politics. Pro truth and pro experts. Despairing of the current UK Government. RTs not always endorsements.","1",51,"en",1
"14",14,1575219102792425472,"RT @IngridHyrycena: I still talk about this, because sometimes I can’t believe I have survived almost 5 years of being discouraged, bullied…","NoFla","🇺🇲/🇲🇽 Tri, #latinainSTEM biologist for FWRI-FWC/FIMS 🦈  pretty avg crossfitter🏋🏽‍♀️ donate to MISS 🌸 views my own 🌴 Inclusion Matters 🦚 she/her 🍊 FL","1",1,"en",1
"15",15,1575219097448710144,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","Everything is a joke, especially myself. Struggle tweet account. I do not have a foot fetish.","1",424,"en",1
"16",20,1575218983824814080,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Hogwarts","Jessica Ravenclaw","1",424,"en",1
"17",21,1575218951164153856,"RT @innanetjames: @RubbaBandDaRula niggas needa start gettin bullied. ain’t no shame out here no more","NOLA","Erotic Author 📃 Amethyst Xoriah 👼🏾.🤞🏾Not Rod Wave 🛑","1",176,"en",1
"18",25,1575218816187244544,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Camp Crystal Lake ","United States Navy NCAT 14 Eagles 2018 Super Bowl Champs 🏆🏆🏆🏆","1",424,"en",1
"19",26,1575218779134386176,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","California, USA","mom, sister, aunt, friend, neighbor, weaver. weaving the web that is my life and looking for the way forward. be kind. happy to follow you but PLEASE DON’T DM.","1",76,"en",1
"20",27,1575218775502516224,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","Croatia","Only two things are infinite, the universe and human stupidity, and I'm not sure about the former. Albert Einstein","1",1520,"en",1
"21",29,1575218769852796928,"RT @BBCPanorama: Undercover Hospital: Patients at Risk

Secret filming reveals evidence of a toxic staff culture, patients being taunted an…","","Clinical psychologist;passionate about kind, human  communities.🧘‍♀️","1",25,"en",1
"22",30,1575218767017443328,"RT @tito_mboweni: The day a central bank is bullied by their government, “.cry the beloved country”. Why is the UK government bullying the…","Johannesburg","Entrepreneur","1",9,"en",1
"23",31,1575218677724884992,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Johannesburg, South Africa","","1",424,"en",1
"24",32,1575218645252206592,"RT @EuginhoCortez: One reason why I'm very keen on devolution that strengthens the LGA tier is the need to make it very difficult to have a…","Oil Club, Manchester ","Well... Man City, Barcelona... I love Suya","1",3,"en",1
"25",33,1575218626587545600,"RT @thesixwriter: I like that we’re beginning to take more of a stand as young Ghanaians. We won’t be bullied with seniority or age. 

Do y…","Spintex , Accra Gh","Accounting || Real Madrid || Milwaukee Bucks","1",166,"en",1
"26",34,1575218620460068864,"RT @BBCNWT: BBC Panorama went undercover and found patients being humiliated, verbally abused and bullied by staff
https://t.co/EXwZEZkKvC","","Work @mencap_charity & Patron @includetweets & @DanceSyndromeUK & trustee @h2htheatre & @sunnybankepsom & Ambassador @eveappeal & All Views are All my Own","1",12,"en",1
"27",36,1575218534581358592,"RT @tomwambsgays: he's listening to G.I.N.A.S.F.S. by Fall Out Boy in his iPod after his youth hostel roommates bullied him :'( #greghirsch…","17.7500° N, 142.5000° E","《ƒιgнт мє, уσυ ¢єяαмι¢ вιт¢н》 she/her, 24. i'm the oldest, which means i'm always right // Faintly Macabre, the not-so-wicked Which, meets untempered schism ✌🤪","1",43,"en",1
"28",37,1575218491057401856,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Johannesburg, South Africa","radical candour.
queer. 
uses the same GIFs excessively. 
rarely seen without a glass of wine. 
a melange of contradictions. 
armond lizzo.","1",424,"en",1
"29",39,1575218463458865152,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","🇳🇬 | Jersey | 1906 | Psalms 16:8","1",424,"en",1
"30",40,1575218437793935360,"RT @thesixwriter: I like that we’re beginning to take more of a stand as young Ghanaians. We won’t be bullied with seniority or age. 

Do y…","","💚🤎eunoia🤎💚","1",166,"en",1
"31",41,1575218391568171008,"RT @AlisonHoltBBC: Disturbing report from @BBCPanorama. Undercover investigation finds 'toxic culture' at a mental health hospital, with so…","","Mother to amazing beautiful daughter's and amazing beautiful son’s","1",8,"en",1
"32",44,1575218376007618560,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","East Midlands, England","","1",817,"en",1
"33",46,1575218356210237440,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","Proud Mother and Grandmother, lifelong Democrat, will fight for justice and peace. Despise tfg and republicans. Speak up against hate and ignorance. No DM’s pls","1",76,"en",1
"34",47,1575218350778912768,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","the less you know the better","🇧🇸| 20. | leo, cancer, aries |","1",424,"en",1
"35",48,1575218348329406464,"RT @Kidscape: Being bullied can feel really horrible. It can make you feel scared, alone, angry, sad and much, much more. If you are being…","England, United Kingdom","","1",16,"en",1
"36",52,1575218285720866816,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","London","Head of Strategy - tries to understand hoo-mands.
Music, Board gaming, digital stuff, Advertising.
Pottymouth.
Views are my own.... but you may steal them.","1",51,"en",1
"37",53,1575218277130727424,"RT @soooo_jp: Does it mean that at least 50,000 people liked what I created?
I never thought a boy who was bullied and looked down on by so…","","ditchi ditch | osu profile: https://t.co/cuoLecnehA","1",25,"en",1
"38",56,1575218239201628160,"RT @itsmeralaura: In this year we saw two women got bullied in the social media and judged them , Just because they spoke against powerful…","","I tweet about whatever.","1",103,"en",1
"39",57,1575218236446380032,"RT @ETimesTV: Karan Kundrra shares new pictures with ladylove Tejasswi Prakash, and writes “trust me she bullied me into it..!”
@kkundrra @…","","Destiny of love and support..❤️❤️","1",363,"en",1
"40",58,1575218216817033216,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Trinidad","100% Trini   Loves CARNIVAL♥, #Geographer #TeamRumandSoca
If you're weak you wont last long here......
I'm no stranger to the dark.","1",424,"en",1
"41",59,1575218212039708672,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","","1",424,"en",1
"42",62,1575218171908595712,"RT @ETimesTV: Karan Kundrra shares new pictures with ladylove Tejasswi Prakash, and writes “trust me she bullied me into it..!”
@kkundrra @…","India","I’m here just for fun and support #TejRan I don’t want any negative things for me and for them","1",363,"en",1
"43",63,1575218156905414656,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…","wherever with my airpods ","he/she","1",208,"en",1
"44",65,1575218119567876096,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Trinidad and Tobago","| P2BP | ΣΛΒ | 🇹🇹 | #FreePalestine 🇵🇸","1",424,"en",1
"45",66,1575218116727971840,"RT @iconic_0001: You see Hermes and khalid?? Top Men!!! Those ones can not be bullied and they will always stand for the truth!!! Thank you…","UK","child of God, lover of Jesus Christ
Travel Enthusiast
⭐
Use Social Media wisely
Only type what I can say direct","1",110,"en",1
"46",67,1575218075967815680,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Pre-gentrified Harlem","Comedy Lover | Aspiring Data Engineer | @Columbia Alum | Womanist | Pro-Black | #AllBlackLivesMatter (She/Her) #BlackTwitter","1",424,"en",1
"47",68,1575218063016067072,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…","","she/her. A mix of Twilight and One Direction trash","1",499,"en",1
"48",69,1575218062285938688,"RT @adoomies3: When you get in a bb showmance expecting it to blow up postseason but it turns out to be with a racist who lasts 10 seconds…","Rural Colorado","Colorado|Libra|Let’s Go Duke|Boomer Sooner|Buckeye Nation|Autism|Music nerd|Pro wrestling fan|Reality TV enthusiast|","1",35,"en",1
"49",70,1575218059492499456,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Jumpstarting my car ","SHE/HER 🏳️‍🌈 “I didn't come from your rib. You came from my vagina."" HOST OF @UTERONOMYPOD. According to @s_inclairr my pronouns are ima/little/tea/pot","1",424,"en",1
"50",71,1575218030615072768,"RT @lizzbag: I now work with a very large number of young men.  They keep letting themselves into the women's toilets, where I am vastly ou…","","","1",119,"en",1
"51",75,1575217962013032448,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","","Christian (Orthodox). Male (he/him), 30s. @communistsusa . ADHD/probably #ActuallyAutistic . Against empire. Love your neighbors & fight for their liberation.","1",131,"en",1
"52",76,1575217906127753216,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","","he/him | 20 | fruity

not stranger things spoiler free besties","1",131,"en",1
"53",77,1575217904978894848,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…","Colombia","sg and 1d fan acc.","1",208,"en",1
"54",78,1575217904349433856,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Uptown ","the revolution will be multilingual | linguist | she, ella | Leo 🌝&🌚Virgo ⬆️ | Ravenclaw. #AlphaPlatinum9000 @blacklangpod views are my own","1",424,"en",1
"55",81,1575217860783505408,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","","1",76,"en",1
"56",82,1575217839904288768,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…","Fictional World","just Fangirling 🙌","1",499,"en",1
"57",83,1575217831506898944,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","","","1",817,"en",1
"58",84,1575217809881038848,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","Midwest","Stella & Dot/SeneGence 
Meaning Based Keepsake Jewelry, Fashion & Clean Beauty 💋👜💍🌿 Women Supporting Women, Pro Choice, 40 & Fabulous","1",76,"en",1
"59",85,1575217808442785792,"RT @Pick61989: I invite everyone who's been bullied, harassed or intimidated by @JonathanDenisAB  and his crew to watch the public unmaskin…","","#KlondikePapers

We're all in this together.

Everything happens for a reason.

Not a fascist.

If I agreed with you, then we'd both be wrong.","1",67,"en",1
"60",87,1575217795607908352,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…","Lagos","M just me,easy going and fun to b with","1",10,"en",1
"61",88,1575217789627150336,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","","1",424,"en",1
"62",89,1575217769033113600,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","","","1",27,"en",1
"63",90,1575217763072745472,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","Lytham , Lytham St Annes","Loves all sport , golfer , cyclist , skier , had some fantastic opportunities, Views my own","1",1520,"en",1
"64",97,1575217547778981888,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","A Floating Rock.","I just want to live in the bush and be free.","1",424,"en",1
"65",98,1575217515428728832,"RT @SGomezNewsCOMs: His wife’s fans have attacked Selena not once has the wife told her fans to stop. Mind you the wife herself has also bu…","","fan account","1",28,"en",1
"66",100,1575217506708398080,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…","","fan account","1",208,"en",1
"67",104,1575217458096504832,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","Saving democracy one tweet at a time. Plus thousands of phone calls.","1",76,"en",1
"68",106,1575217357743882240,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","European Union 🇪🇺","Where there’s a will, there’s a way.","1",51,"en",1
"69",107,1575217356846297088,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","","🏳️‍⚧️🏁 HRT 12/19/21 Dionysus, Athena. A trans teacher changed my life #teamLH #FORZAFERRARI poly lesbian submissive","1",131,"en",1
"70",109,1575217325858398208,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","","","1",51,"en",1
"71",111,1575217271064395776,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","Rural Colorado","Colorado|Libra|Let’s Go Duke|Boomer Sooner|Buckeye Nation|Autism|Music nerd|Pro wrestling fan|Reality TV enthusiast|","1",27,"en",1
"72",115,1575217233147600896,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Massachusetts, USA","idk. just ask until I come up with something clever.","1",424,"en",1
"73",116,1575217220552359936,"RT @WonderMahlobo: Andile Mpisane is being cyber bullied because his mother is doing what we all wish to do for our children. Its envy","Johannesburg","promoting agendas and conspiracy theories, totally in agreement with whatever @Schooler1__ says😂.I appreciate life and grateful to God for His Grace.","1",14,"en",1
"74",117,1575217203590311936,"RT @latestly: Karan Kundrra Shares Pictures of His Photoshoot With Girlfriend Tejasswi Prakash, Reveals How She ‘Bullied’ Him! (View Post)…"," India","Only Official Fan Club of Our Champ @kkundrra

Indian Actor here to promote his upcoming projects.

#HarMaidainFateh

Alternative of @KKundrraFanClub Account","1",371,"en",1
"75",120,1575217135441575936,"RT @sandyjamesplan: This needs to be addressed. Several professional people who would normally never speak out coming forward saying they h…","","post grad degree..interested in all that is around me","1",9,"en",1
"76",121,1575217108060733440,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…","Hamlet ","B.A||MPA||MSc||ANIPR||ACIPM.

Rice Farmer. Crop Production. Public Relations. Media & Advertising.

Ps55:17 Evening, and morning, and at noon, will I pray🙏","1",10,"en",1
"77",122,1575217087651672064,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","✈️TBD","Son | Brother | Uncle | Orlando Native | UCF Alum | Miami Hurricanes Football #FOHArmy #BlackLivesMatter Thoughts and opinions are mine.","1",424,"en",1
"78",124,1575217062792011776,"RT @GiriWaltz: @mmpadellan The media characterized it as ""playing outdoors"" - NO. This is not playing. He's cringing and crying. Probably t…","","","1",5,"en",1
"79",125,1575217037089316864,"RT @iconic_0001: You see Hermes and khalid?? Top Men!!! Those ones can not be bullied and they will always stand for the truth!!! Thank you…","Soweto, SA","Where da is laughter, da is me....Aquarius- great sense of humour... MaDhlamini... #Khosi for life.","1",110,"en",1
"80",127,1575216995741896704,"RT @chvachon: @JustinTrudeau « Your right to choose »? What about vaccination?  Do I have the same right to choose without being bullied by…","Member of Unacceptable Fringe","Charter-loving freedom warrior supporting women’s sex-based rights & #safeguarding children. Expel woke ideology from society. @ValKyrie1984 on GETTR","1",3,"en",1
"81",128,1575216993933877248,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","alumna (2x)","1",424,"en",1
"82",130,1575216958563561472,"RT @Mimicinque: @SholaMos1 📝Same British journalists who threatened, bullied, smeared, tormented, late #PrincessDiana are the same ones thr…","","","1",14,"en",1
"83",134,1575216916826066944,"RT @MasekoValencia: I don’t remember being bullied by people doing better than me. It’s always the type that is not bettering themselves.","","God first😘","1",150,"en",1
"84",135,1575216882894110720,"RT @ZoomTV: These adorable lovebirds have our hearts!! 😍 #KaranKundrra #TejasswPrakash

https://t.co/igPAVl9TNT","","Shukrana Guru ji
😎 My attitude is your problem, your attitude my foot 😉😎😎","1",478,"en",1
"85",136,1575216866288599040,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","on the road","O+","1",817,"en",1
"86",139,1575216833397161984,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","shangri la","see pinned tweet | 25","1",424,"en",1
"87",141,1575216797569101824,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","","1",76,"en",1
"88",145,1575216769446313984,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","Rock N Rolla","1",424,"en",1
"89",147,1575216742699147264,"RT @Suitandtie9999: Just two ago, Willie Jackson told Mike McRoberts..”It’s something I really rally against actually, people being told th…","Sunshine Coast, Queensland","","1",14,"en",1
"90",148,1575216664743772160,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Outside","Ew, it’s you.","1",424,"en",1
"91",151,1575216572355858432,"RT @Penumbral__: The Vtuber thigh tier list - I swear chat bullied me into putting Numi first this was not my idea https://t.co/Agp4qwTasl","Oahu, HI","Shikikan, Div Investor, Otaku |⚡ 🌽 🐔 🍕 🧚 🌹 ❤️‍🔥 ♌ 🧟‍♀️ 🍑 🎪 💎 🎲 🪶 🔱 ⏳ 🌿 🔎 💀 🎰 🪄 🥀 🧪 🔨 🧤 ⛓️ 🎇| Lvl 17x #GirlsFrontline | Lvl 11x #AzurLane","1",264,"en",1
"92",152,1575216564592603136,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…","Barnsley","Aaron Thomas Gardiner❤ In a world where you can be anything be kind 🥰 it said do not dial 9, so I dialled 9 🤣 be the change you want to see in the world 🌍💕","1",499,"en",1
"93",153,1575216549623103488,"RT @hisprobIem: How are you gonna say both of these things in the SAME interview ? She wants to be the unbothered, secure wife but also the…","","Calm down - Rema (with selena Gomez) MUSIC VIDEO is out NOW💙","1",10,"en",1
"94",154,1575216444534824960,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","|USF Alumna| ⚽️❤️| I want your TL to be in shambles | NWD | My tweets aren’t indicative of my brain cells|","1",424,"en",1
"95",155,1575216430672650240,"RT @hourlytacha: 3 years ago we were mocked, laughed at, bullied and spat on.

3 years later we are celebrating TACHA as the most talked ab…","Lusaka, Zambia","@Symply_Tacha  Africa's ultimate influencer follows | @Cleo_icequeen Africa's best female rapper

No Leave No Transfer 🔱🔱","1",77,"en",1
"96",156,1575216427862265856,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Clouds","","1",424,"en",1
"97",157,1575216411311341568,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","With the hoes ","#ISUalumna Nigga I got a pack of blacks and a beat CD Get yo freestyles ready. #prayforchicago #ripzeek #riptyshawnlee","1",424,"en",1
"98",158,1575216393657921536,"RT @thisshitisban: People are really saying this tweet is ""guilt-tripping"" WOW
As if other idols did not take their own lives after being c…","cub’s cottage ♬","she/her | im nayeon is ❤︎︎ | multifan | read carrd byf","1",13,"en",1
"99",161,1575216328327430144,"RT @hourlytacha: 3 years ago we were mocked, laughed at, bullied and spat on.

3 years later we are celebrating TACHA as the most talked ab…","","","1",77,"en",1
"100",162,1575216307963772928,"RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…","","","1",76,"en",1
"101",164,1575216228326596608,"RT @SusieLarson: The Lord Himself fights for you! So take your stand, hold your ground, and refuse to be bullied by your fears. Jesus won t…","Durham, NC","Coach • Writer • Speaker• Survivor of Childhood Sexual Abuse whose passion is to help women find courage, hope and freedom in Jesus. https://t.co/7Ci9rzQwnr","1",30,"en",1
"102",165,1575216216993501184,"RT @FlLMDORK: Them people really hated and bullied Taylor into massive success that’s crazy😭😭","","","1",54,"en",1
"103",166,1575216204868112384,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…","they/they","They/Them| Artist| Singer| Neurosurgeon in Training 🧠| Pansexual🏳️‍🌈 $karmaj7","1",131,"en",1
"104",167,1575216196416315392,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…","UK","","1",51,"en",1
"105",169,1575216140694978560,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…","Lagos","I'm a believer of Nigeria project. Land of opportunities. GOD REIGNS SUPREME.","1",10,"en",1
"106",170,1575216128036548608,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","","|Realist-Individualist|Existentialist|Cinephile|Black American| “I proclaim that I believe in nothing and that everything is absurd” ⚫️💊","1",424,"en",1
"107",172,1575216089948360704,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","👽","honey, WHERE is my Percocet?!","1",424,"en",1
"108",174,1575216039755153408,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","West Midlands, England","After 3 years and 32 countries in a caravan, two years travelling around England in a Narrowboat, we are back on dry land! BrExit done! Lets Go!! KRO 🇬🇧🇬🇧","1",817,"en",1
"109",175,1575216013033242624,"RT @SunFlowerMood2: Y’all bullied this man into wearing his hat in the pool…🤭🤭 #BB24 https://t.co/kJaF7hfVhC","","i tweet my opinions 🤷🏻‍♂️","1",13,"en",1
"110",176,1575216012370255872,"RT @bendyjw: How to get bullied 108: https://t.co/9nF1abYWoU","🇻🇪 - Crystal Mountain Zone","CUENTA SECUNDARIA DE @LaKokoXD ☤ //
@ricoshet278 Muak// soy mujer, y no, no soy trans.","1",73,"en",1
"111",177,1575216011858808832,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Capitol City","Zach Mentality","1",424,"en",1
"112",178,1575215976966418432,"RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd","","i tweet my opinions 🤷🏻‍♂️","1",27,"en",1
"113",179,1575215976638869504,"RT @Atpeterex: As long as you went through high school you were bullied at some point if not by seniors by teachers let's hear your story 📍","","","1",348,"en",1
"114",180,1575215972562378752,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…","Bingley, West Yorkshire","Conservative #Bingley Ward Councillor on Bradford District Council & Town Councillor for #Gilstead. #NUFC fan. RTs not necessarily mean endorsement.","1",817,"en",1
"115",181,1575215970112901120,"RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…","Cayman Islands ","","1",424,"en",1
