,id,text,geo,description,likes,retweet_counts,lang
46,1575218356210237440,RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…,,"Proud Mother and Grandmother, lifelong Democrat, will fight for justice and peace. Despise tfg and republicans. Speak up against hate and ignorance. No DM’s pls",0,76,en
47,1575218350778912768,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,the less you know the better,"🇧🇸| 20. | leo, cancer, aries |",0,424,en
48,1575218348329406464,"RT @Kidscape: Being bullied can feel really horrible. It can make you feel scared, alone, angry, sad and much, much more. If you are being…","England, United Kingdom",,0,16,en
49,1575218342788747264,@DerekHuber23 @Jocelyn_JJF I do not understand this attitude at all. Can you imagine if you would’ve been forced to stay in that school? That’s what you’re doing to other kids! Kids get bullied &amp; commit suicide that go to public schools too. But you would force them to stay.,"Orange County, CA",,0,0,en
50,1575218317224120320,"Not the first time Prince George, NINE, is bullied by squaddies. Meghan bullied Charlotte at 3 years old and her team has bullied Prince George several times. #childabuse https://t.co/7OSzoubBVW",,"my tweets are my own opinions, thoughts, ideas.",0,0,en
51,1575218317047889921,@benkeiobsessed @Twitter Man ….@icsaru  @daylightghoul @Tenjiku_4 someone tell my story 😂I’m the most one bullied int his platform,Haru 💛,21 yo instagram: Emalyn1024 mw:@mybubumikey. Cr:@king_bong_8,2,0,en
52,1575218285720866816,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…",London,"Head of Strategy - tries to understand hoo-mands.
Music, Board gaming, digital stuff, Advertising.
Pottymouth.
Views are my own.... but you may steal them.",0,51,en
53,1575218277130727424,"RT @soooo_jp: Does it mean that at least 50,000 people liked what I created?
I never thought a boy who was bullied and looked down on by so…",,ditchi ditch | osu profile: https://t.co/cuoLecnehA,0,25,en
54,1575218259938652160,Glad you got bullied for saying this https://t.co/Jlrlwu4hqO,Caliphate,"Bruins-Giants-Cubs-Celtics
Soccer/Football Fan
Packed At 1k🙏
Brady And Durant Are FRAUDS!
Muslim 🙏
Pan Islamist ☪💪
Free Palestine and Chechenya",0,0,en
55,1575218245077852160,@bees4dream i've been there for big stuff but missed practically ALL streams podcasts and similar and always kept quiet or i'd get bullied 😭😭,🇧🇦 | any prns,"#리노: don't make me bad, i'm addicted to you | 18 | skz, dteam + ranboo enjoyer ☽",1,0,en
56,1575218239201628160,"RT @itsmeralaura: In this year we saw two women got bullied in the social media and judged them , Just because they spoke against powerful…",,I tweet about whatever.,0,103,en
57,1575218236446380032,"RT @ETimesTV: Karan Kundrra shares new pictures with ladylove Tejasswi Prakash, and writes “trust me she bullied me into it..!”
@kkundrra @…",,Destiny of love and support..❤️❤️,0,363,en
58,1575218216817033216,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Trinidad,"100% Trini   Loves CARNIVAL♥, #Geographer #TeamRumandSoca
If you're weak you wont last long here......
I'm no stranger to the dark.",0,424,en
59,1575218212039708672,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,,,0,424,en
60,1575218202610905088,@DK33088 @BWooDz310 @charliespiering @HillaryClinton Why was the server insecure? Did it get made fun of and bullied a lot?,Probably at a music venue,"Daniel, aka ""Asfixzeeuh"". I bottom frag in your favorite games. @sharlaa_ 🖤 𝔐𝔢𝔪𝔢𝔫𝔱𝔬 𝔪𝔬𝔯𝔦",0,0,en
61,1575218188010549248,Don’t worry guys I’m feeling better now that I was bullied into not listening to my sad playlist. It’s Britney only from here on out,,#1 @misspacthesis fan,0,0,en
62,1575218171908595712,"RT @ETimesTV: Karan Kundrra shares new pictures with ladylove Tejasswi Prakash, and writes “trust me she bullied me into it..!”
@kkundrra @…",India,I’m here just for fun and support #TejRan I don’t want any negative things for me and for them,0,363,en
63,1575218156905414657,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…",wherever with my airpods ,he/she,0,208,en
64,1575218143500201986,Yes I am gatekeeping being a redhead because I did not spend my entire life being bullied for everyone to randomly decide they wanna be ginger and it’s nice now,"North West, England","live music photographer, 18, adult in training",0,0,en
65,1575218119567876096,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Trinidad and Tobago,| P2BP | ΣΛΒ | 🇹🇹 | #FreePalestine 🇵🇸,0,424,en
66,1575218116727971842,RT @iconic_0001: You see Hermes and khalid?? Top Men!!! Those ones can not be bullied and they will always stand for the truth!!! Thank you…,UK,"child of God, lover of Jesus Christ
Travel Enthusiast
⭐
Use Social Media wisely
Only type what I can say direct",0,110,en
67,1575218075967815681,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Pre-gentrified Harlem,Comedy Lover | Aspiring Data Engineer | @Columbia Alum | Womanist | Pro-Black | #AllBlackLivesMatter (She/Her) #BlackTwitter,0,424,en
68,1575218063016067072,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…",,she/her. A mix of Twilight and One Direction trash,0,499,en
69,1575218062285938688,RT @adoomies3: When you get in a bb showmance expecting it to blow up postseason but it turns out to be with a racist who lasts 10 seconds…,Rural Colorado,Colorado|Libra|Let’s Go Duke|Boomer Sooner|Buckeye Nation|Autism|Music nerd|Pro wrestling fan|Reality TV enthusiast|,0,35,en
70,1575218059492499457,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Jumpstarting my car ,"SHE/HER 🏳️‍🌈 “I didn't come from your rib. You came from my vagina."" HOST OF @UTERONOMYPOD. According to @s_inclairr my pronouns are ima/little/tea/pot",0,424,en
71,1575218030615072768,"RT @lizzbag: I now work with a very large number of young men.  They keep letting themselves into the women's toilets, where I am vastly ou…",,,0,119,en
72,1575218030308913152,@vratolomej in  my elementary school it was a group thing hosted by the pedagoginja (the one who called me manipulative to my parents because i cried as a bullied 10 year old and other such things) and they just made pancakes every week....,lesbian | eng/srb-cro | 🌹,'art account'. plane girl and unironic poetry reader,1,0,en
73,1575217978014064640,"@blossomsauce @mybluesunset And he was so damn mad about it too. He's like, sure, I bullied you and was an all around shit, but how dare you keep a secret from me!🧡","Maryland, USA","They/Them || 37 || mostly just here to enjoy art and fan stuff || pfp and banner by @SideOfCalimary💚🧡
https://t.co/sa65kek6zu",0,0,en
74,1575217974549413888,"It’s a massive weekend for all the football teams in @GibraltarFA as they kick off their season. Over the last few days I’ve had time to sit down and think to myself how can I do this and I have support from my ones, I have been kept silent and almost bullied to not say anything",Spain,Ig iamkxngbaby Seychelles international Footballer.  can’t get access to my other account,0,0,en
75,1575217962013032448,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…",,"Christian (Orthodox). Male (he/him), 30s. @communistsusa . ADHD/probably #ActuallyAutistic . Against empire. Love your neighbors & fight for their liberation.",0,131,en
76,1575217906127753216,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…",,"he/him | 20 | fruity

not stranger things spoiler free besties",0,131,en
77,1575217904978894848,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…",Colombia,sg and 1d fan acc.,0,208,en
78,1575217904349433857,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,Uptown ,"the revolution will be multilingual | linguist | she, ella | Leo 🌝&🌚Virgo ⬆️ | Ravenclaw. #AlphaPlatinum9000 @blacklangpod views are my own",0,424,en
79,1575217876197584896,Not happening.....they can't pivot now.....absolutely not....It will look like the FED is being bullied....Not happening.....Didn't the WH say they don't pat attn to what the mkts do? https://t.co/kYjCO3wqpS,Palm Beach + New York ,"Managing Partner Kace Capital Advisors, Market Analyst Fox Biz, CNN, CNBC Keynote Speaker, @HeadstrongProj. Tweets are my own & not reflective of employer.",2,0,en
80,1575217862842540032,"@mikeclodfelter Oh yes, I was doxxed on Nextdoor and cyber bullied constantly. 

They often imply that I'm poor/bad with money because I rent and don't have a car. 

It's wild to make that assumption. Cars cost on avg $9,000 a year.","San Diego, CA ",,0,0,en
81,1575217860783505408,RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…,,,0,76,en
82,1575217839904288768,"RT @6rTerrence: louis really showed up late (maybe high), said whatever the fuck he wanted, bullied zach into giving liam apology shoes, an…",Fictional World,just Fangirling 🙌,0,499,en
83,1575217831506898944,"RT @MercyMuroki: I was bullied in school by other brown kids for 'not acting black'.

Why? Because I liked books, was studious, eloquent, a…",,,0,817,en
84,1575217809881038848,RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…,Midwest,"Stella & Dot/SeneGence 
Meaning Based Keepsake Jewelry, Fashion & Clean Beauty 💋👜💍🌿 Women Supporting Women, Pro Choice, 40 & Fabulous",0,76,en
85,1575217808442785798,"RT @Pick61989: I invite everyone who's been bullied, harassed or intimidated by @JonathanDenisAB  and his crew to watch the public unmaskin…",,"#KlondikePapers

We're all in this together.

Everything happens for a reason.

Not a fascist.

If I agreed with you, then we'd both be wrong.",0,67,en
86,1575217795645976576,@foodbad69 i got bullied for my appearence and was the ugliest girl in school so i just wanted to feel beautiful and it actually works. now people always tell me that i'm very beautiful.,she/her 18 non-edtwt dni,i'm just awkward,0,0,en
87,1575217795607908352,"RT @QueenTheLaw: You have bullied the FG, NCDC, the Police, the CBN &amp; the CBN governor, the Former Minister, Anty Kemi, EFCC &amp; now you want…",Lagos,"M just me,easy going and fun to b with",0,10,en
88,1575217789627150336,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,,,0,424,en
89,1575217769033113600,RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd,,,0,27,en
90,1575217763072745472,"RT @_whitneywebb: I was pregnant and gave birth while the vaccine rollout was happening and at every stage, including when my son was 2 mon…","Lytham , Lytham St Annes","Loves all sport , golfer , cyclist , skier , had some fantastic opportunities, Views my own",0,1520,en
91,1575217720970584064,"@sophielouisecc And still you go out to defend them. #usefulidiot
GB News pundit 'bullied out of Conservative Party' amid 'KFC job jibes' https://t.co/MUm5CegNFJ",,"There's no point looking here, l'm telling you fuck all about me",0,0,en
92,1575217668554366976,@SpiderMan__1997 @BallHandMan you’re literally 14 with an account saying “im british and i love porn” like please make some friends i know you’re bullied in school but trust me making friends will be the most valuable thing you could do.,she/her,doll,0,0,en
93,1575217617199329280,@MyndTease No bullied a lot,Texas,NSSAR No DMs.Happily 🇺🇸🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿Married to a Red Head,0,0,en
94,1575217596819210240,"@ges4 @BPete1970 @ArabellaRober19 When did she ever say she didn't want  Royal life? She said she never expected it but when it came, she put her all into it. She did more work in a year than sm other royals had done in years put together. They vilified her 4 sending 5am emails.They bullied her &amp; called her names",,Here,0,0,en
95,1575217587092598784,we bullied Taylor’s lead single choices so much that she’s never dropping a lead single again i fear https://t.co/8KTaX0GxgC,,"23 - enjoyer of taylor swift, CBM’s, and others - property of corporate 🇺🇸",2,0,en
96,1575217566641160192,@goggysout @c_unextuesday @_Fraek_ @weganmilliamson You know men get bullied fir being short AND tall too? STOP with the Double Standard..,"London, England","British but citizen of the World, Traveler, 2 PhD .I've been called: Courageous, Genius, Daredevil, Revolutionary, Hero. And you are here bc I outsmarted you.",0,0,en
97,1575217547778981888,RT @homunculusdick: My cousin in Trinidad won’t eat oxtail because his friend ate it &amp; became impotent. His testicles became swollen. His f…,A Floating Rock.,I just want to live in the bush and be free.,0,424,en
98,1575217515428728833,RT @SGomezNewsCOMs: His wife’s fans have attacked Selena not once has the wife told her fans to stop. Mind you the wife herself has also bu…,,fan account,0,28,en
99,1575217513868120064,@NoccieWoccie WE WONNNNN WE BULLIED HIM ENOUGH,chicago,uic ‘25 | ♍︎ ♌︎ ♒︎ | 🇲🇽 | 222,0,0,en
100,1575217506708398080,"RT @SGomezNewsCOMs: Selena has been bullied for over a decade by her ex’s fans &amp; not once did he defend her. They sent her d*ath threats, c…",,fan account,0,208,en
101,1575217502719594496,@granolasandal I believe this 100%. I believe this is why i was bullied in my religious based school and why i was often nicer and in trouble for questioning the curriculum often. I didn’t understand why other faiths/irreligious/sects in the own religion were bad or any person at all,"Oakland, CA","☭ Van Gogh reincarnated? indigenous Afghan 🩰 🎥 🎞🎬 no gods, no masters, no chains— be free or die well. 💍",0,0,en
102,1575217481878507520,"@MercyMuroki Very sorry to hear you were bullied.
I'm from a previous generation to you.
When I was at school in a year of 90 there were 3 students of colour.
Now in my 50s the terms used to describe people like me is 'coconut'.
I'm not condoning what she said, merely offering some context.",Brizzle,"Interested in politics, Higher Education, fly-fishing, and food/wine. VTAMO. 🇬🇧 🇪🇺🇫🇯🏳️‍🌈",0,0,en
103,1575217475993538560,nah cause my sister dead ass a substitute teacher now 🤣🤣 I just know her ass getting bullied rn,,Professional Barber,0,0,en
104,1575217458096504835,RT @SamCaoOhio: Ohio's GOP-led government gaslighted and bullied a rape victim-a TEN-YEAR-OLD who had to travel to Indiana for an abortion.…,,Saving democracy one tweet at a time. Plus thousands of phone calls.,0,76,en
105,1575217429491453953,@ariamuhx @muhaiminwahid_ i’m tired of being bullied by old people🤧,,jc,0,0,en
106,1575217357743882240,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…",European Union 🇪🇺,"Where there’s a will, there’s a way.",0,51,en
107,1575217356846297089,"RT @1Schoolhouse: Homeschooling is so wild because it could be because you’re disabled
or got bullied a lot
or training for the Olympics
or…",,"🏳️‍⚧️🏁 HRT 12/19/21 Dionysus, Athena. A trans teacher changed my life #teamLH #FORZAFERRARI poly lesbian submissive",0,131,en
108,1575217331680079872,@lain_skywalker Nagatoro is for people who like being bullied and detective was only good for like two episodes,She/They/Bun || 19 y/o,"EN/NL okay! DMs are open! •
priv: @PandaChanV2",1,0,en
109,1575217325858398208,"RT @chrisgreybrexit: It shows all the Brexiter pathologies (e.g. expert consensus = plot, scrutiny = sabotage, criticism = treachery) &amp; mos…",,,0,51,en
110,1575217281813995520,"Interviewer Laughs At Teenage Climate Activist Once She Admitted To Flying To Fiji. Now Her Mom Claims She Was ‘Bullied.’
 https://t.co/F9De1nO0al",New York,"I'm Conservative who believes in our Democracy, Free Speech & my right to bear arms. We need to fight democrats who are spreading Socialism in the U.S.",0,0,en
111,1575217271064395776,RT @friendrryy: Alyssa acting like she’s the one who got bullied lmao #bb24 https://t.co/qglZ6RK1Dd,Rural Colorado,Colorado|Libra|Let’s Go Duke|Boomer Sooner|Buckeye Nation|Autism|Music nerd|Pro wrestling fan|Reality TV enthusiast|,0,27,en
112,1575217261500997632,The social media rats have even bullied Anty Abike and the agency. What a sick bunch!,,Twobu is my work.,2,0,en
113,1575217245520789514,@SkinSkins4 @Niklaas80s @theworldindex No I have a serious issue with bullying and won't be bullied online or in person Kyle. You don't know me or any of my mistakes so mind your business. The only GAS here is your hot air,Toronto ,"Cannabis enthusiast 🇨🇦
I was once cool than COVID happened, now I'm just a hermit with opinions
🧡EVERY CHILD MATTERS 🧡",0,0,en
